Título_Público Descricao_pública																																																				
Açúcar de frutas e aplicação em bolos como substituto da sacarose O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil	dessa maneira	contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário	a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.																																																
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo	agregação de valor e diferenciação de sabores	em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras	devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor	aroma e alto nível de aceitação ampliando a diversificação de produtos.																																															
Desenvolvimento de cobertura líquida para sorvete O Brasil é considerado um país com a maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma	busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais	sociais e econômicos	o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC)	alimentos e nutrição humana	linhas estas	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																											
Desenvolvimento de conserva de tomate cereja O Brasil é considerado o país com maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas	que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis	entendidas como as que integram benefícios ambientais	sociais e econômicos	e com diferencial competitivo. Em Mato Grosso do Sul	entre os abundantes frutos nativos do Cerrado	o baru (Dipteryx alata)	têm se destacado por ser fonte de renda para famílias	contribuindo para a conservação da biodiversidade. Neste sentido	através da inovação tecnológica	o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado	contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.																																						
Investigação do Comportamento Dinâmico de Manifolds Submarinos Durante sua Instalação O projeto trata-se de uma campanha	onde serão utilizadas diversas ferramentas de hidrodinâmica e de dinâmica de corpos rígidos e flexíveis	de forma a se definir o melhor procedimento para instalação de manifolds em águas profundas.																																																		
Mancais Magnéticos para Aplicação na Indústria do Petróleo N/A																																																				
Mapeamento de energias e potencial de aproveitamento nas FPSOs Prospecção de novas tecnologias para a recuperação de energia	tanto pelo aproveitamento de processos existentes da planta como gerando energia de forma alternativa.																																																			
MARINA - Recuperac?a?o e identificac?a?o automa?tica de microfo?sseis em arquivos naturais Desenvolvimento a ni?vel de proto?tipo	de uma ferramenta para automatizac?a?o do processo de triagem de microfo?sseis calca?rios	empregando um dispositivo robo?tico	sensores apropriados e software de controle.																																																	
MARLIN  Metodologia de Risco e Logística Integrada MARLIN é um projeto de P&D	I para a ENAUTA que tem como objetivo desenvolver Metodologia de Inspeção Baseada em Risco (IBR) para Sistemas Submarinos de Produção integrada à um planejamento Logístico de frotas e equipamentos disponíveis para realização de inspeção e reparo de instalações submarinas. A inovação deste projeto reside na integração da metodologia de IBR de sistemas submarinos às análises de Logística de embarcação de apoio. Como resultados é esperado obter uma melhor otimização dos recursos disponíveis	atendendo ao mesmo tempo o nível de risco definido pela gestão de integridade do sistema submarino e os requerimentos do regulamento SGSS da ANP. Ainda referente ao âmbito do projeto	é previsto a criação de uma ferramenta digital com a funcionalidade de gerar modelos de análise logística para otimização da frota de navios de apoio	de forma a atender as diferentes periodicidades de inspeção dos equipamentos submarinos endereçados no projeto	assim como garantir a disponibilidade dos equipamentos necessários levando assim à uma otimização dos custos de inspeção e reparo O projeto com duração prevista de 24 meses será conduzido pela equipe do Laboratório de Tecnologia Submarina (LTS) em parceria com o Laboratório de Simulação de Processos de Engenharia Naval (LABSEN)	ambos da COPPE/UFRJ	e conta com o apoio da Embrapii-COPPE.																																													
Melhorias/Inovação do Sistema de Atuação de Válvulas para Manifolds Adoção de Sistema Elétrico de Controle de válvulas.																																																				
Métodos de Avaliação de Resistência de Trechos de Fundo de Dutos Flexíveis com Danos Avaliar as consequências de danos de vários tamanhos e morfologias em capa externa e fita de alta resistência em flowlines e risers de fundo	mediante a realização de ensaios em escala real e desenvolvimento de modelos analíticos e numéricos. Serão realizados ensaios de flexo-compressão em amostras de dutos flexíveis com e sem dano. As amostras serão determinadas pelo NEO	testes de tração de fitas anti-gaiola	filamentos e reparo serão realizados. Testes de compressão pura em duto reparado também serão realizados objetivando-se validar modelo analítico para dimensionamento de reparo. Serão também desenvolvidos modelos analítico e numérico(elementos finitos)	considerando o escorregamento de fita de alta resistência e outros mecanismos de falha	para dimensionar os reparos por filament winding necessários para a reparação das amostras. Modelos numéricos serão desenvolvidos com danos para predizer as condições em que a armadura de pressão desses dutos poderia experimentar destravamento. Ou seja	serão avaliadas as consequências de danos de vários tamanhos e morfologias em capa externa e fita de alta resistência em flowlines e risers de fundo	mediante a realização de ensaios em escala real e desenvolvimento de modelos analíticos e numéricos.																																													
Modelagem avançada no desenvolvimento de ensaio de variabilidade do separador Reflux e na otimização de britagem Esse projeto tem dois objetivos principais	relativos a cada um dos seus escopos:   Desenvolver metodologia de simulação de alta fidelidade da britagem de minérios de ferro da Vale utilizando o modelo Tavares e o método dos elementos discretos (DEM) (Escopo 1).    Utilizar a modelagem matemática baseada do CFD-DPM no desenvolvimento de ensaio em pequena escala para previsão de resultados no separador Reflux (Escopo 2).																																																			
Otimização dos processos biológicos das plantas de tratamento de efluentes de refinarias e terminais buscando aumento de eficiência e estabilidade operacional Otimizar os processos biológicos das estações de tratamento de efluentes de refinarias e terminais visando à melhoria da nitrificação e da sedimentabilidade do lodo	bem como a redução de geração de lodo e espuma. Será também desenvolvido um protocolo experimental para melhor prever o impacto de correntes tóxicas no tratamento biológico. Para alcançar os objetivos propostos	serão avaliadas estratégias para otimização da operação dos sistemas existentes e sua modernização com novas tecnologias.																																																		
Pasta de Cimentação Resistente e Resiliente a CO2 para Aplicação de Armazenamento e Sequestro de Carbono (CCS) Desenvolvimento de uma nova dosagem de cimento resistente e resiliente ao CO2 com propriedades aprimoradas em comparação com os existentes	usando nanopartículas	microfibras e agentes expansores	para uso em poços de injeção CCS e/ou P&A de poços ativos ou legados em aplicação CCS	assim como prever sua durabilidade e desempenho a longo prazo.																																																
Pesquisa e Desenvolvimento de Aço ao Níquel para dutos de Sistemas de reinjeção de CO2 em Campos do Pré-sal O projeto subsidia metodologias de avaliação de integridade estrutural e de avaliação de riscos operacionais	posicionando o uso pioneiro de ligas de aço ao níquel em dutos	para aplicação em ambientes criogênicos	com alta pressão e presença de contaminantes. Neste caso o projeto se dedica ao estudo de dutos sem costura da liga ASTM A333 grau 8 9% Níquel aplicado às linhas de reinjeção de CO2 das plataformas replicantes do Pré-sal.  O objetivo principal do projeto é conhecer detalhadamente a soldagem de tubo de aço 9%Ni quanto à:  integridade estrutural de suas juntas soldadas (como a qualidade - propriedades mecânicas e resistência à corrosão  e a inspeção não destrutiva de possíveis defeitos) e produtividade (redução de custo e tempo de soldagem) na obtenção destas juntas.																																																	
Pesquisas e Desenvolvimento de Dissipadores Térmicos Baseados em Microcanais para Células Fotovoltaicas de Alta Concentração	com Recuperação do Calor Rejeitado para Dessalinização Em construção																																																			
POC [XR] Treinamentos Desenvolver um protótipo funcional baseado em tecnologia de realidade virtual para treinamento e avaliação das atividades de montagem do módulo SCM no Manifold na unidade da TechnipFMC no Parque Tecnológico da UFRJ.																																																				
Produção de BioGLP por processo integrado de reforma a vapor de glicerina com hidrogenação de CO2 Este projeto tem por objetivo geral avaliar o rendimento para produção de BioGLP (propano e butano) a partir da glicerina por uma nova rota catalítica envolvendo duas etapas reacionais: a reforma a vapor da glicerina seguida da hidrogenação do CO2 produzido na primeira etapa																																																				
Produção de proteína S de SARS-COV-2 para desenvolvimento de testes de diagnóstico sorológico O projeto tem como objetivo otimizar e escalonar a tecnologia de produção da proteína S do coronavírus SARS-COV-2	para que as empresas parceiras desenvolvam testes para diagnóstico sorológico de COVID-19	assim como estabelecer um painel de soros/plasmas positivos e negativos para COVID-19	que permita validar os testes diagnóstico e registrá-los junto à ANVISA.																																																	
Projeto inovador de Turbina Eólica monopilar Validar um conceito integrado de projeto	construção	instalação	manutenção e descomissionamento de uma turbina eólica monopilar	conceito esse adaptado ao cenário brasileiro.																																																
Projeto S.O.S. - Simulador de Operações Submarinas Desenvolver o primeiro software nacional de simulação de ROV (remotely operated vehicle)	que será embarcado em uma réplica de um centro de comando e operação (software+hardware).																																																			
Reparo de Painéis de Plataformas por Compósito O objetivo deste projeto é desenvolver a reparação de painéis corroídos planos típicos de estruturas de costado e de convés de plataformas Floating Production	Storage and Offloading (FPSOs) empregando-se laminados compósitos de fibra de carbono com resina epóxi. Serão definidos procedimentos para projeto e aplicação destes materiais de reparo	a fim de se restabelecer a resistência do painel quando submetido a carregamentos combinados de compressão e de pressão lateral. Os laminados e os processos de reparação	assim como os limites de aplicação desta metodologia	serão verificados por Sociedade Classificadora.																																																
Resistência de estruturas tubulares com defeito transpassante	reparadas com material compósito e sujeitas a carregamento combinado de flexo-compressão O objetivo deste projeto é fornecer subsídios para a reparação de estruturas tubulares típicas de torres de flare corroídas empregando-se laminados compósitos de fibra de carbono com resina epóxi. Serão estabelecidos procedimentos para projeto e aplicação destes materiais de reparo	a fim de se restabelecer a resistência do elemento tubular quando submetido a carregamentos isolados ou combinados de flexo-compressão.																																																		
Simulação como ferramenta para previsão da emissão difusa de material particulado	durante o manuseio de minério de ferro em instalações portuárias Estudar o  processo de emissão de finos de minério de ferro nos processos de manuseio de materiais e desenvolver uma metodologia validada	para avaliar as implicações em termos de emissões deste material particulado ao ambiente.																																																		
Sistema Computacional Operacional de Modelagem Regional Oceanográfica e Atmosférica O projeto proposto tem como objetivo geral o desenvolvimento de um sistema computacional de previsão oceanográfica (correntes marinhas e ondas) e de previsão atmosférica para região oceânica específica ao largo da costa brasileira. O sistema de previsão oceanográfica de correntes marinhas fará uso de técnicas de assimilação de dados oceanográficos locais e remotos adquiridos na região de interesse.																																																				
Sistema de ancoragem e de posição dinâmica para usinas fotovoltaicas flutuantes Desenvolver um sistema de ancoragem para usinas solares flutuantes	tornar viável um sistema de posicionamento dinâmico para que a face dos módulos fotovoltaicos acompanhe o movimento solar	maximizando a geração das usinas e viabilizar a utilização de PEAD Verde na fabricação de usinas fotovoltaicas flutuantes.																																																		
Sistema Nautilus Desenvolver conversores de potência para operação em ambientes de alta pressão e o Estudo dos Produtos Químicos do Sistema Submarino de Armazenamento e Injeção em Poços de Petróleo																																																				
Sistemas Submarinos  SISTSUB Avaliação de diferentes alternativas de arranjos submarinos	com e sem a utilização de plataforma flutuante	em águas profundas	com interconexões (tie-back) para grandes distâncias	em especial o sistema associado a navio-plataforma FPSO e o conceito Subsea to Shore	levando-se em consideração aspectos referentes à integridade estrutural	garantia de escoamento	confiabilidade das operações	logística e avaliação econômica.																																												
Tecnologias de inspeção para avaliação da integridade de risers de perfuração e dutos de produção. A produção de petróleo em ambiente offshore demanda um constante aprimoramento dos mais diversos setores da engenharia. Na engenharia de inspeção e integridade	os avanços tecnológicos devem acompanhar as exigências cada vez mais rígidas do controle de qualidade e segurança da operação	sem comprometer o processo produtivo.    Tendo em vista a significativa quantidade de equipamentos submarinos relacionados à exploração de petróleo	dois são destacados no presente projeto	são eles: o riser de perfuração e as linhas de produção.    O riser de perfuração consiste em um conjunto de tubos acoplados ao longo de seu comprimento que conectam a plataforma ao leito marinho	permitindo assim a perfuração de poços de petróleo. Face à sua importância para operação e às condições críticas em que os risers são submetidos	normas de classe exigem inspeções periódicas nestes equipamentos. No entanto	as tecnologias disponíveis no mercado de inspeção têm alto impacto na produção e no custo para as operadoras	em virtude da dependência do translado dos tubos entre a plataforma e o continente	onde a inspeção é realizada. A fim de superar esta limitação	este projeto consiste no desenvolvimento de uma tecnologia que permita a inspeção dos risers de perfuração ainda no deck da plataforma	o que representa ganho operacional expressivo	devido à eliminação dos custos relacionados ao transporte e	consequentemente	ao menor tempo de parada.    Com relação à outra estrutura de destaque para a operação de extração	os dutos de produção	o aumento da lâmina dágua associado ao ambiente corrosivo demanda dutos de elevada espessura e revestidos com diversos materiais. Tais características tornam a inspeção não destrutiva em águas profundas um desafio para indústria e a comunidade científica. A ferramenta	que também será desenvolvida no projeto	tem como principal objetivo avaliar	pelo lado externo da parede	a integridade destes dutos	detectando defeitos de corrosão sem a retirada das camadas de revestimento.																															
Testes de Compressão Mecânica Radial em Umbilicais O propósito do projeto é avaliar a resistência à compressão mecânica radial de cabos umbilicais	ao passarem por tensionadores de navios PLSV`s (Pipe Laying Service Vessel)	utilizados durante as operações de lançamento e recolhimento. Visa determinar o número máximo de operações de instalação/recolhimento admissíveis	e as condições de falha de funcionalidade dos sistemas.																																																	
Utilização de diferentes metodologias para avaliação do comportamento em corrosão sob tensão de juntas dissimilares Dentro da área de análise de integridade estrutural	gerenciamento de risco e	consequentemente	monitoramento	inspeção e reparo existem linhas de pesquisa que se destacam dentro do atual contexto técnico	econômico	científico e de segurança e meio ambiente. Neste sentido se destaca a análise do comportamento de plataformas flutuantes e a interface desta com equipamentos submarinos e os poços de petróleo no fundo do mar. Nesse sentido	o LNDC/PEMM/COPPE/UFRJ intensificou os esforços em conjunto com a FMC Technologies do Brasil analisando as metodologias existentes atualmente utilizadas com esta finalidade e apresentou resultados contundes de ajustes a serem feitos tanto no planejamento experimental quanto na interpretação dos resultados. Para isto foram utilizados testes de tenacidade à fratura em ambientes contendo hidrogênio a partir de proteção catódica in situ em juntas dissimilares envolvendo aços baixa liga e alta resistência e uma liga de níquel (inconel 625). Pode-se comprovar o efeito danoso do hidrogênio bem como a ineficácia das metodologias normalizadas em termos de análise quantitativa. Os resultados foram de extrema relevância dentro da área de integridade estrutural	pois	apresentou uma metodologia alternativa e representativa dos efeitos do hidrogênio na degradação de juntas dissimilares.																																											
Viabilidade Técnica Preliminar da Mineração Submarina de Areia na Baía da Guanabara A mineração submarina é uma tendência relativamente nova na indústria mineral e que está na iminência de crescer significativamente	uma vez que diversos estudos têm sido	recentemente	realizados a fim de desenvolver tecnologias para mineradoras explorarem o fundo dos oceanos em busca de metais e minerais industriais. Evidentemente	existem diversos desafios no desenvolvimento e aplicação destas tecnologias	que incluem a temperatura da água	a limitação de luminosidade	pressões	correntes marinhas em diferentes níveis na coluna d´água	topografia irregular	variabilidade no teor do minério de interesse ao longo do depósito	bem como o risco de impactos ambientais	entre outros. Apesar desses desafios	inúmeros países têm desenvolvido estudos e até já estão iniciando projetos para a exploração dos depósitos minerais localizados no fundo do mar. O Brasil	que conta com vasto litoral e tradição em mineração	tem grande potencial de desenvolvimento nessa área. Devido às peculiaridades da mineração submarina e	em particular	da Baía de Guanabara	desafios tecnológicos são identificados. As peculiaridades dessa aplicação	incluindo a lâmina de água no local de dragagem (15 a 20 m)	os riscos ambientais	o tráfego de embarcações	os contaminantes encontrados na areia	a baixa lâmina de água disponível na zona de descarga	entre outras	demandam soluções específicas para que essa operação seja um sucesso não somente para a empresa empreendedora	como também para o estado. O objetivo do projeto é de superar esses desafios a través do desenvolvimento de uma embarcação piloto de mineração customizada	o desenvolvimento de uma usina de processamento modular da areia marinha	bem como a caracterização hidrodinâmica na área de mineração. A proposta de sistemas de controle e mitigação dos impactos ambientais em todas as etapas	desde a extração até o processamento de disposição dos rejeitos é também um tópico de grande importância.																							
Pesquisa e Desenvolvimento de Rede de Sensores sem Fio	com Autonomia Energética para Monitoramento e Automação em Poços de Petróleo  DWNS  Downhole Wireless Network Sensor O projeto tem seu foco no emprego de diferentes tecnologias para contornar limitações dos atuais sensores de fundo e solucionar problemas considerados difíceis nas áreas sensoriamento	autonomia energética e comunicação sem fio. A pesquisa proposta tem caráter multidisciplinar e aborda	dentre outros	os seguintes temas: Tecnologia Wireless	Tecnologias de Sensoriamento e Propagação Eletromagnética. Será realizada uma investigação sobre sensores para propor uma mudança disruptiva no processo de recuperação de petróleo e gás dos reservatórios novos e existentes	bem como a garantia de escoamento. O projeto prevê executar um conjunto de experimentos de laboratório/campo que permita extrair informações acerca da natureza eletromagnética da propagação de ondas pela região anular e pela coluna de produção de estruturas semelhantes a poços de petróleo e avaliar a possibilidade de fazer comunicação sem fio. Para comprovar a comunicação	deseja-se transmitir um sinal eletromagnético de baixa frequência (100 kHz ou menos) através dessas estruturas e então captar este mesmo sinal a várias distâncias. A partir da avaliação da qualidade desse sinal	é possível predizer a taxa máxima de transferência de bits	a taxa de erros e o consumo de energia	dentre outros.																																										
Agro Gestão Operacional Sustentável Desenvolvimento de uma estrutura de uma solução de Gestão Agrícola	que possa gerenciar processos e fornecer sugestões para os produtores.																																																			
Agro Trace Chain - Integração da Cadeia da Agroindústria Integrar os atores da cadeia de produção da agroindústria	de forma simples	flexível e confiável com uma aplicação descentralizada baseada em Blockchain visando rastrear o histórico de um ativo produzido no campo compartilhando informações om quem necessário.																																																		
Agro Trace Chain Fase 2 - ATC-F2. Plataforma de a rastreabilidade de ativos físicos e lógicos para diferentes cadeias do agronegócio e identificação digital descentralizada para os produtores rurais.																																																				
ANÁLISE DO POTENCIAL DE EMISSÃO DE TÍTULOS VERDES E PAGAMENTO POR SERVIÇOS AMBIENTAIS A PARTIR DE DADOS AMBIENTAIS E MULTIESPECTRAIS VOLTADOS PARA A SUSTENTABILIDADE EM PROPRIEDADES RURAIS Desenvolvimento de modelos de Inteligência Artificial visando contribuir na automação de um processo de mapeamento e monitoramento do solo e da regeneração e conservação da vegetação nativa fundamentado em uma lógica de coleta de dados multiespectrais de sensores orbitais e de drones combinada com dados ambientais multicriteriais.																																																				
Automotive Online Datalogger Solução de software proprietário e hardware de mercado para a realização de coletas de dados do veículo.																																																				
Bancada automatizada de testes para sistemas de transmissão de veículos Desenvolvimento de bancada que será utilizada para testar de forma automatizada três tipos de transmissão: hidráulica	pneumática e elétrica. Os testes serão reconfiguráveis e os parâmetros para configuração de variáveis baseados nos procedimentos de ensaios atuais.																																																			
Beacons - Fase 2 Desenvolvimentos de 3 (três) modelos de beacons baseado em tecnologia Bluetooth 4.0/5.0 (BLE) compatível com o protocolo iBeacon e Eddystone com o desenvolvimento e implementação de HW e FW: 1. Beacon simplificado utilizando chipset NORDIC nRF51822. 2. Beacon crachá utilizando chipset NORDIC nRF52822. 3. Beacon com sensores integrados	incluindo a função data logger	utilizando o chipset NORDIC nRF52832.																																																		
Biometria Facial Bovina Desenvolvimento de solução de visão computacional para a identificação biométrica de bois a partir de imagens coletadas de seus focinhos																																																				
Birô de medicamentos com uso de blockchain Sistema de suporte à troca de medicamentos	utilizando a tecnologia de blockchain	permitindo rastrear a cadeia de escambo de medicamentos em redes hospitalares	em  processos como: - Oferta dos medicamentos disponíveis	onde são informados o prazo de validade	a localização e o valor de cada medicamento. - Busca por medicamentos	- Escambo do medicamento	quando há a confirmação das condições  entre as partes	o envio e o controle do recebimento. - Acompanhamento de extrato de pontos das carteiras das farmácias.																																												
Blockchain para a plataforma de certificados educacionais chamada Diploma Mio. Será desenvolvido a estrutura em blockchain para o armazenamento e consulta de certificados educacionais emitidos por instituições educacionais credenciadas. Será a base para a plataforma segura gerenciamento de certificados educacionais	chamada Diploma Mio.																																																			
CADEIA DE CUSTÓDIA DE CRÉDITO DE CARBONO E ATIVOS AMBIENTAIS CADEIA DE CUSTÓDIA DE CRÉDITO DE CARBONO E ATIVOS AMBIENTAIS																																																				
Central de Dados em Saúde  CDS. Criação de um ambiente confiável e com foco no paciente	por meio de uma plataforma digital que integre os diversos agentes da saúde e que permita o compartilhamento seguro e auditável de dados clínicos por meio de conexões geradas por solução de Identidade Digital baseada em Blockchain																																																			
Classificação de Quadros de Cria de Abelhas Desenvolvimento de solução de visão computacional para a captura qualificada de imagens de colmeias e sua posterior classificação quanto à qualidade de quadros de cria de abelhas melíferas	integrada ao midlleware IOT (dojot) para recepção e armazenamento dos dados processados.																																																			
Coleta de dados veiculares para a plataforma Previsiown Adequação de uma solução comercial para coleta de dados veiculares	através da porta OBD-II	e adequações do middleware IoT de código aberto para uso e integração com a plataforma Previsiown																																																		
Coleta e Análise de Dados para o Bem-estar Animal. Solução tecnológica que permite a coleta de dados individuais dos animais com o intuito de analisa-los e identificar as condições de saúde e hábito nutricional																																																				
Coletor de percepções veiculares. Desenvolvimento de aplicativo móvel (app)	em ambientes iOS e Android	integrado à Plataforma Previsiown	que interaja com o usuário para coletar suas impressões a partir da apresentação de questionários dirigidos durante test drives e através de IA interpretá-los automaticamente para aquisição das percepções.																																																	
Controlador Semafórico Inteligente O objetivo deste projeto é desenvolver um controlador semafórico com autoconfiguração de temporização das fases	com base em coleta de dados de tráfego através de câmera e laço indutivo e com configuração remota da temporização via tecnologias GPRS e/ou 3G. A comunicação entre o dispositivo de acionamento e o controlador semafórico será via cabo. Para configuração local	o controlador terá hot spot Wi-Fi de acesso.																																																		
CPLD-Comutador Digital e de CPLD emFPGA Orientar a execução do projeto de substituição física de um circuito integrado comutador digital e um dispositivo CPLD (Complex Programamable Logic Device) por um único componente FPGA (Field Programmable Gate Array)																																																				
Criação e evolução de tecnologias inovadoras para roteamento e monitoração de canais ópticos em sistemas de comunicação WDM Desenvolvimento com a criação e a evolução de tecnologias inovadoras	para roteamento e monitoração de canais ópticos em sistemas de comunicação WDM  de alta capacidade	proporcionando maior flexibilidade e robustez às plataformas de transporte óptico de alta capacidade	produzidas pela PADTEC e a continuidade  dessas plataformas no estado da técnica	na área das tecnologias de comunicações ópticas.																																																
Datalogger e Marketplace de Modelos de IA Validação do uso de um maior número de dataloggers em uma PoC (Prova de Conceito)	integrando diversos modelos de IA gerados em um marketplace para detecção de falhas e anomalias em ambiente relevante.																																																			
Desenvolvimento de aplicação Face Blur Desenvolvimento de uma nova funcionalidade para o equipamento Life Box	denominada Face Blur. Ela consiste em um processamento do vídeo gravado	realizado após o evento cirúrgico	visando obscurecer o rosto dos profissionais da equipe médica captados pela câmera ambiente	garantindo assim a sua privacidade.																																																
Desenvolvimento de bateria de Lítio-Íon estacionária para sistemas de telecomunicações Desenvolvimento de um protótipo industrial que contemple a Bateria de lítio-íon para aplicação estacionária em sistema de backup de energia em sistemas de telecomunicações	contendo células avançadas de lítio-íon com empacotamento térmico e mecânico	além de um adequado sistema eletrônico de monitoramento	controle e gestão da bateria (BMS - Battery Management System).																																																	
Desenvolvimento de cabos ópticos ribbon flexíveis Desenvolvimento de cabos ópticos ribbon flexíveis para instalação aérea autossustentada em vãos de 200 m e para instalação em dutos ou aéreos espinados	com 288 fibras ópticas ribbon flexíveis																																																			
Desenvolvimento de equipamento Data Logger para aplicações em Saneamento Projeto para desenvolvimento de um dispositivo que lê sensores de pressão e de vazão	salva os valores lidos na memória retentiva em periodicidade configurável e envia esses dados para um servidor em Nuvem com periodicidade também configurável.																																																			
Desenvolvimento de estação meteorológica de baixo custo para monitoração de condições climáticas e de enchentes O Motivador do Projeto é a possibilidade de predição de catástrofes ambientais hiperlocalizadas em grandes centros urbanos	principalmente alagamentos e enchentes que possam trazer impacto nas comunidades locais.  O objetivo é o desenvolvimento de uma estação meteorológica de baixo custo para monitoração das condições climáticas hiperlocalizadas e de um sensor de enchentes.  O diferencial	além do baixo custo	estará na solução tecnológica a ser desenvolvida																																																	
Desenvolvimento de Microcabos Ópticos (DMO) Desenvolvimento de microcabos ópticos para instalações externas soprados em dutos	os quais permitirão a otimização da utilização da infraestrutra existente de dutos	contribuindo para o processo do enterramento das redes de telecomunicações	meta das grandes cidades brasileiras para a diminuição da poluição visual e aumento do espaço livre na superfície.																																																	
Desenvolvimento de Modelos de Detecção de Anomalia e Predição de Falhas O objetivo do projeto DAPF é	a partir de uma base de dados disponibilizada pela PARCEIRA	estudar modelos de Machine Learning para detecção de anomalias no funcionamento e predição de falhas de máquinas e desenvolver protótipos desses modelos da forma mais adequada para os dados analisados. A base	fonte de dados a serem analisados	disponibiliza informação tridimensional de acelerômetros em máquinas rotativas.  Será desenvolvido um módulo de Machine Learning que irá estimar o tempo até a ocorrência de falha de uma máquina. Além disso	será também realizado um projeto de coleta de dados para validação e extensão do módulo de Machine Learning desenvolvido. O conjunto de máquinas de interesse para coleta dos dados será definido conjuntamente com a PARCEIRA.																																															
Desenvolvimento de modelos de Inteligência Artificial (IA) para reconhecimento de padrões de áudio Modelos de Inteligência Artificial (IA) para reconhecimento de padrões em arquivos de áudio capturados no meio ambiente de forma a ser possível a distinção de diferentes tipos de eventos sonoros de interesse e identificá-los.																																																				
Desenvolvimento de Modelos de Visão Computacional para Verificação de Linhas de Plantio e Colheita Desenvolvimento de Modelos de Visão Computacional para reconhecimento de padrões em aplicações de verificação de restituição de Linhas de Plantio e Colheita.																																																				
Desenvolvimento de modelos de visão computacional	a partir de imagens térmicas	para a identificação de anomalias em mama. Desenvolvimento de modelos de visão computacional	a partir de uma série temporal de imagens térmicas	para a identificação de anomalias em mama de um mesmo indivíduo.																																																
DESENVOLVIMENTO DE PROCESSOS DE FABRICAÇÃO DE CHIP FOTONICOS A descrição pública do projeto a ser desenvolvido é a seguinte: Projeto de desenvolvimento de acoplamento óptico com a otimização de processos de pós processamentos de wafers buscando a redução de crosstalk entre o Tx/Rx	além do desenvolvimento de processo de caracterização e análise de desempenho de parâmetros fotônicos	visando a redução de perdas no processo de fabricação.																																																		
Desenvolvimento de tecnologias fotônicas inovadoras para lasers de cavidade externa ultracompactos Desenvolvimento circuitos fotônicos integrados em Silício para formar a cavidade óptica externa de lasers com tecnologia híbrida																																																				
Desenvolvimento de um conjunto de sistemas de Software (SW) de uma nova linha de produtos para uso indoor compatíveis com sistemas de comunicações sem fio de 5ª Geração Projeto para o desenvolvimento de um conjunto de sistemas de Software (SW) de uma nova linha de produtos para uso indoor compatíveis com sistemas de comunicações sem fio de 5ª Geração (5G) e Wi-Fi 6.																																																				
Desenvolvimento de um Dispositivo Sensor Biomecânico Implementação do Hardware e Firmware de um dispositivo Sensor Biomecânico	objetivando aprimorar uma solução preexistente com sensores por ultrassom (sonar) e placa controladora (Arduino) que se comunica com o celular via bluetooth. A solução utiliza a realidade virtual (RV) simulada	onde a computação gráfica é usada para criar um mundo de aparência realista.																																																		
Desenvolvimento do Fence Smart. Desenvolvimento de um equipamento avançado para proteção de perímetros com localização precisa de eventos	baseado na tecnologia de monitoramento por fibra óptica.																																																			
"Desenvolvimento do Módulo de Telegestão para End-Device"" para o controle de luminárias utilizadas em Iluminação Pública ""Desenvolvimento do Módulo de Telegestão para End-Device"""" para o controle de luminárias utilizadas em Iluminação Pública . O Módulo de Telegestão  possui funcionalidades de controle da luminária como: liga/desliga"	dimerização	e medição de tensão e corrente. Para comunicação entre os MTEDs	"utiliza a tecnologia de comunicação sem fio mesh baseada em IEEE 802.15.4. Para a comunicação com sensores e smartphones será utilizada a tecnologia BLE."""																																																	
